,href,language_num,sex,birth_place,native_language,other_languages,age_sex,age_of_english_onset,english_learning_method,english_residence,length_of_english_residence,age
56,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=118,english57,male,"['1,', 'uk']",english,"['french', 'spanish', '']","['34,', 'male', '']",0.0,naturalistic,"['uk,canada']",34.0,34.0
57,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=119,english58,female,"['southhampton,', 'uk']",english,['none'],"['46,', 'female', '']",0.0,naturalistic,"['uk,usa']",16.0,46.0
58,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=120,english59,male,"['ohio,', 'usa']",english,"['greek', 'german', '']","['30,', 'male', '']",0.0,naturalistic,['usa'],30.0,30.0
59,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=122,english60,male,"['virginia,', 'usa']",english,['none'],"['18,', 'male', '']",0.0,naturalistic,['usa'],18.0,18.0
60,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=123,english61,male,"['ontario,', 'canada']",english,['none'],"['19,', 'male', '']",0.0,naturalistic,['canada'],19.0,19.0
61,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=124,english62,male,"['utah,', 'usa']",english,['none'],"['30,', 'male', '']",0.0,naturalistic,['usa'],30.0,30.0
62,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=125,english63,male,"['texas,', 'usa']",english,"['spanish', '']","['21,', 'male', '']",0.0,naturalistic,['usa'],21.0,21.0
63,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=126,english64,female,"['quebec,', 'canada']",english,"['french', '']","['25,', 'female', '']",0.0,naturalistic,['canada'],25.0,25.0
64,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=127,english65,male,"['pennsylvania,', 'usa']",english,['none'],"['47,', 'male', '']",0.0,naturalistic,['usa'],47.0,47.0
65,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=128,english66,male,"['maryland,', 'usa']",english,['none'],"['19,', 'male', '']",0.0,naturalistic,['usa'],19.0,19.0
66,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=129,english67,male,"['indiana,', 'usa']",english,"['french', '']","['37,', 'male', '']",0.0,naturalistic,['usa'],37.0,37.0
67,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=130,english68,male,"['york,', 'usa']",english,['none'],"['52,', 'male', '']",0.0,naturalistic,['usa'],52.0,52.0
68,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=131,english69,male,"['adelaide,', 'australia']",english,"['korean', '']","['23,', 'male', '']",0.0,naturalistic,['australia'],23.0,23.0
69,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=133,english70,male,"['texas,', 'usa']",english,['none'],"['21,', 'male', '']",0.0,naturalistic,['usa'],21.0,21.0
70,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=134,english71,male,"['california,', 'usa']",english,['none'],"['20,', 'male', '']",0.0,naturalistic,['usa'],20.0,20.0
71,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=135,english72,male,"['kilkenny,', 'ireland']",english,"['irish', '']","['31,', 'male', '']",0.0,naturalistic,['ireland'],31.0,31.0
72,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=136,english73,male,"['darwin,', 'australia']",english,['none'],"['24,', 'male', '']",0.0,naturalistic,['australia'],24.0,24.0
73,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=137,english74,male,"['kansas,', 'usa']",english,"['spanish', '']","['21,', 'male', '']",0.0,naturalistic,['usa'],21.0,21.0
74,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=138,english75,male,"['idaho,', 'usa']",english,['none'],"['32,', 'male', '']",0.0,naturalistic,['usa'],32.0,32.0
75,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=139,english76,female,"['massachusetts,', 'usa']",english,"['french', 'spanish', 'hebrew', '']","['18,', 'female', '']",0.0,naturalistic,['usa'],18.0,18.0
76,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=140,english77,male,"['melbourne,', 'australia']",english,"['japanese', '']","['26,', 'male', '']",0.0,naturalistic,['australia'],26.0,26.0
77,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=141,english78,female,"['maine,', 'usa']",english,"['french', '']","['20,', 'female', '']",0.0,naturalistic,['usa'],20.0,20.0
78,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=142,english79,male,"['massachusetts,', 'usa']",english,['none'],"['73,', 'male', '']",0.0,naturalistic,['usa'],73.0,73.0
79,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=144,english80,male,"['scotland,', 'uk']",english,['none'],"['34,', 'male', '']",0.0,naturalistic,"['uk,', 'canada']",34.0,34.0
80,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=145,english81,male,"['minnesota,', 'usa']",english,"['spanish', '']","['30,', 'male', '']",0.0,naturalistic,['usa'],30.0,30.0
81,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=146,english82,female,"['illinois,', 'usa']",english,['none'],"['50,', 'female', '']",0.0,naturalistic,['usa'],50.0,50.0
82,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=147,english83,female,"['louisiana,', 'usa']",english,"['french', '']","['42,', 'female', '']",0.0,naturalistic,['usa'],42.0,42.0
83,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=148,english84,male,"['sydney,', 'australia']",english,"['tok', 'pisin', '']","['45,', 'male', '']",0.0,naturalistic,['australia'],45.0,45.0
84,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=149,english85,male,"['ireland,', 'uk']",english,['none'],"['31,', 'male', '']",0.0,naturalistic,['uk'],31.0,31.0
85,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=150,english86,male,"['carolina,', 'usa']",english,"['spanish', '']","['50,', 'male', '']",0.0,naturalistic,['usa'],50.0,50.0
86,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=151,english87,female,"['tamworth,', 'australia']",english,"['esperanto', 'german', '']","['18,', 'female', '']",0.0,naturalistic,['australia'],18.0,18.0
87,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=152,english88,male,"['michigan,', 'usa']",english,['none'],"['18,', 'male', '']",0.0,naturalistic,['usa'],18.0,18.0
88,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=153,english89,male,"['massachusetts,', 'usa']",english,"['spanish', '']","['18,', 'male', '']",0.0,naturalistic,['usa'],18.0,18.0
89,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=155,english90,male,"['pennsylvania,', 'usa']",english,['none'],"['53,', 'male', '']",0.0,naturalistic,['usa'],53.0,53.0
90,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=156,english91,male,"['kingston,', 'jamaica']",english,"['patois', '']","['23,', 'male', '']",0.0,naturalistic,['jamaica'],23.0,23.0
91,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=157,english92,female,"['wisconsin,', 'usa']",english,['none'],"['22,', 'female', '']",0.0,naturalistic,['usa'],22.0,22.0
92,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=158,english93,female,"['louisiana,', 'usa']",english,['none'],"['22,', 'female', '']",0.0,naturalistic,['usa'],22.0,22.0
93,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=159,english94,female,"['florida,', 'usa']",english,['none'],"['55,', 'female', '']",0.0,naturalistic,['usa'],55.0,55.0
94,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=160,english95,male,"['indiana,', 'usa']",english,['none'],"['18,', 'male', '']",0.0,naturalistic,['usa'],18.0,18.0
95,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=161,english96,male,"['jersey,', 'usa']",english,"['russian', '']","['31,', 'male', '']",0.0,naturalistic,['usa'],31.0,31.0
96,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=162,english97,male,"['carolina,', 'usa']",english,"['spanish', '']","['42,', 'male', '']",0.0,naturalistic,['usa'],42.0,42.0
97,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=163,english98,male,"['washington,', 'usa']",english,"['spanish', '']","['22,', 'male', '']",0.0,naturalistic,['usa'],22.0,22.0
98,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=164,english99,female,"['pennsylvania,', 'usa']",english,"['french', 'spanish', '']","['52,', 'female', '']",0.0,naturalistic,['usa'],52.0,52.0
99,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=63,english100,female,"['florida,', 'usa']",english,['none'],"['23,', 'female', '']",0.0,naturalistic,['usa'],23.0,23.0
100,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=64,english101,female,"['ontario,', 'canada']",english,"['french', 'mandarin', '']","['18,', 'female', '']",0.0,naturalistic,['canada'],18.0,18.0
101,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=65,english102,male,"['connecticut,', 'usa']",english,['none'],"['22,', 'male', '']",0.0,naturalistic,['usa'],22.0,22.0
102,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=66,english103,male,"['york,', 'usa']",english,"['german', '']","['21,', 'male', '']",0.0,naturalistic,['usa'],21.0,21.0
103,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=67,english104,female,"['ohio,', 'usa']",english,"['spanish', '']","['18,', 'female', '']",0.0,naturalistic,['usa'],18.0,18.0
104,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=407,english105,male,"['ontario,', 'canada']",english,['none'],"['57,', 'male', '']",0.0,naturalistic,['canada'],57.0,57.0
105,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=408,english106,female,"['california,', 'usa']",english,"['spanish', '']","['39,', 'female', '']",0.0,naturalistic,['usa'],39.0,39.0
106,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=416,english107,male,"['illinois,', 'usa']",english,"['spanish', '']","['19,', 'male', '']",0.0,naturalistic,['usa'],19.0,19.0
107,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=419,english108,male,"['ireland,', 'uk']",english,"['dutch', 'french', 'german', 'spanish', '']","['21,', 'male', '']",0.0,naturalistic,['uk'],21.5,21.0
108,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=420,english109,female,"['hampshire,', 'usa']",english,"['irish', '']","['26,', 'female', '']",0.0,naturalistic,['usa'],26.0,26.0
109,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=421,english110,male,"['norfolk,', 'uk']",english,"['japanese', '']","['21,', 'male', '']",0.0,naturalistic,['uk'],0.0,21.0
110,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=426,english111,male,"['bombay,', 'india']",english,"['hindi-urdu', 'french', '']","['21,', 'male', '']",0.0,naturalistic,"['india,', 'usa']",4.0,21.0
111,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=427,english112,male,"['virgin', 'islands']",english,"['french', '']","['21,', 'male', '']",0.0,naturalistic,"['us', 'virgin', 'islands']",21.0,21.0
112,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=439,english113,male,"['wales,', 'uk']",english,"['french', 'welsh', '']","['31,', 'male', '']",0.0,naturalistic,"['wales,', 'australia']",31.0,31.0
113,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=442,english114,female,"['alabama,', 'usa']",english,['none'],"['38,', 'female', '']",0.0,naturalistic,['usa'],38.0,38.0
114,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=443,english115,male,"['hertfordshire,', 'uk']",english,['none'],"['31,', 'male', '']",0.0,naturalistic,['uk'],31.0,31.0
115,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=444,english116,male,"['georgia,', 'usa']",english,['none'],"['56,', 'male', '']",0.0,naturalistic,['usa'],56.0,56.0
116,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=445,english117,female,"['alabama,', 'usa']",english,['none'],"['60,', 'female', '']",0.0,naturalistic,['usa'],60.0,60.0
117,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=446,english118,male,"['ohio,', 'usa']",english,['none'],"['19,', 'male', '']",0.0,naturalistic,['usa'],17.0,19.0
118,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=455,english119,female,"['saskatchewan,', 'canada']",english,['none'],"['32,', 'female', '']",0.0,naturalistic,['canada'],32.0,32.0
119,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=456,english120,male,"['saskatchewan,', 'canada']",english,"['german', '']","['65,', 'male', '']",0.0,naturalistic,['canada'],65.0,65.0
120,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=465,english121,male,"['minnesota,', 'usa']",english,"['french', '']","['21,', 'male', '']",0.0,naturalistic,['usa'],21.0,21.0
121,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=468,english122,female,"['lumpur,', 'malaysia']",english,"['mandarin', 'japanese', '']","['20,', 'female', '']",0.0,naturalistic,"['singapore,usa']",13.0,20.0
122,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=469,english123,female,"['california,', 'usa']",english,['none'],"['28,', 'female', '']",0.0,naturalistic,"['usa,', 'uk']",23.0,28.0
123,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=480,english124,male,"['york,', 'usa']",english,['none'],"['38,', 'male', '']",0.0,naturalistic,['usa'],38.0,38.0
124,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=485,english125,male,"['queensland,', 'australia']",english,['none'],"['28,', 'male', '']",0.0,naturalistic,['australia'],28.0,28.0
125,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=487,english126,female,"['ohio,', 'usa']",english,"['spanish', '']","['34,', 'female', '']",0.0,naturalistic,['usa'],34.0,34.0
126,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=489,english127,male,"['connecticut,', 'usa']",english,['none'],"['39,', 'male', '']",0.0,naturalistic,['usa'],39.0,39.0
127,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=490,english128,female,"['florida,', 'usa']",english,"['french', '']","['20,', 'female', '']",0.0,naturalistic,['usa'],20.0,20.0
128,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=492,english129,male,"['lancashire,', 'uk']",english,"['korean', 'indonesian', 'polish', 'french', '']","['25,', 'male', '']",0.0,naturalistic,"['uk,', 'australia']",25.0,25.0
129,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=496,english130,male,"['south', 'africa']",english,"['afrikaans', '']","['32,', 'male', '']",0.0,naturalistic,"['south', 'africa']",32.0,32.0
130,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=497,english131,male,"['florida,', 'usa']",english,['none'],"['23,', 'male', '']",0.0,naturalistic,['usa'],23.0,23.0
131,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=503,english132,female,"['ontario,', 'canada']",english,['none'],"['18,', 'female', '']",0.0,naturalistic,['canada'],18.0,18.0
132,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=504,english133,female,"['york,', 'usa']",english,"['spanish', '']","['36,', 'female', '']",0.0,naturalistic,['usa'],36.0,36.0
133,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=506,english134,female,"['ireland,', 'uk']",english,"['french', '']","['22,', 'female', '']",0.0,naturalistic,['uk'],22.0,22.0
134,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=507,english135,male,"['alabama,', 'usa']",english,['none'],"['22,', 'male', '']",0.0,naturalistic,['usa'],22.0,22.0
135,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=508,english136,male,"['alberta,', 'canada']",english,['none'],"['25,', 'male', '']",0.0,naturalistic,['canada'],25.0,25.0
136,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=509,english137,male,"['virginia,', 'usa']",english,"['japanese', '']","['26,', 'male', '']",0.0,naturalistic,['usa'],26.0,26.0
137,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=510,english138,female,"['alaska,', 'usa']",english,"['german', '']","['25,', 'female', '']",0.0,naturalistic,['usa'],25.0,25.0
138,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=511,english139,male,"['island,', 'usa']",english,['none'],"['20,', 'male', '']",0.0,naturalistic,['usa'],20.0,20.0
139,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=515,english140,male,"['city,', 'philippines']",english,"['tagalog', '']","['43,', 'male', '']",0.0,naturalistic,"['philippines,canada']",43.0,43.0
140,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=516,english141,male,"['york,', 'uk']",english,"['french', 'german', '']","['19,', 'male', '']",0.0,naturalistic,['uk'],19.0,19.0
141,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=517,english142,male,"['york,', 'usa']",english,"['french', '']","['19,', 'male', '']",0.0,naturalistic,['usa'],19.0,19.0
142,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=518,english143,male,"['minnesota,', 'usa']",english,"['french', '']","['42,', 'male', '']",0.0,naturalistic,"['usa,', 'uk']",42.0,42.0
143,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=519,english144,male,"['scotia,', 'canada']",english,"['spanish', '']","['24,', 'male', '']",0.0,naturalistic,['canada'],24.0,24.0
